Player Name,Date of Birth,Height,Weight,Draft Year,From,Position,Jersey Number,Injury Status
LeBron James,12/30/84,6-9,250,2003,St. Vincent-St. Mary,SF,6,H
Anthony Davis,3/11/93,6-10,253,2012,Kentucky,PF,3,H
Talen Horton-Tucker,11/25/00,6-4,234,2019,Iowa State,SG,5,H
Carmelo Anthony,5/29/84,6-7,238,2003,Syracuse,PF,7,H
Trevor Ariza,6/30/85,6-8,215,2004,UCLA,SF,1,H
Wayne Ellington,11/29/87,6-4,207,2009,North Carolina,SG,2,H
Marc Gasol,1/29/85,6-11,255,2007,Spain,C,14,H
Dwight Howard,12/8/85,6-10,265,2004,Southwest Atlanta Christian Academy,C,39,H
Malik Monk,2/4/98,6-3,200,2017,Kentucky,SG,11,H
Kendrick Nunn,8/3/95,6-2,190,2018,Oakland,SG,12,H
Russell Westbrook,11/12/88,6-3,200,2008,UCLA,PG,0,H
Kent Bazemore,7/1/89,6-4,195,2012,Old Dominion,SF,9,H
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
